zipcode,state,is remote
83236,Texas,true
83237,Idaho,true
83237,Texas,true
83238,Idaho,true
83238,Texas,true
83241,Idaho,true
83241,Texas,true
83243,Idaho,true
83243,Texas,true
83244,Idaho,true
83244,Texas,true
83245,Idaho,true
83245,Texas,true
83246,Idaho,true
83246,Texas,true
83250,Idaho,true
83250,Texas,true
83251,Idaho,true
83251,Texas,true
83252,Idaho,true
83252,Texas,true
83253,Idaho,true
83253,Texas,true
83254,Idaho,true
83254,Texas,true
83255,Idaho,true
83255,Texas,true
83256,Idaho,true
83256,Texas,true
83261,Idaho,true
83261,Texas,true
83262,Idaho,true
83262,Texas,true
83263,Idaho,true
83263,Texas,true
83271,Idaho,true
83271,Texas,true
83272,Idaho,true
83272,Texas,true
83274,Idaho,true
83274,Texas,true
83276,Idaho,true
83276,Texas,true
83277,Idaho,true
83277,Texas,true
83278,Idaho,true
83278,Texas,true
83281,Idaho,true
83281,Texas,true
83283,Idaho,true
83283,Texas,true
83285,Idaho,true
83285,Texas,true
83286,Idaho,true
83286,Texas,true
83287,Idaho,true
83287,Texas,true
83301,Idaho,true
83301,Texas,true
83302,Idaho,true
83302,Texas,true
83303,Idaho,true
83303,Texas,true
83311,Idaho,true
83311,Texas,true
83312,Idaho,true
83312,Texas,true
83313,Idaho,true
83313,Texas,true
83314,Idaho,true
83314,Texas,true
83316,Idaho,true
83316,Texas,true
83318,Idaho,true
83318,Texas,true
83320,Idaho,true
83320,Texas,true
83321,Idaho,true
83321,Texas,true
83322,Idaho,true
83322,Texas,true
83323,Idaho,true
83323,Texas,true
83324,Idaho,true
83324,Texas,true
83325,Idaho,true
83325,Texas,true
83326,Idaho,true
83326,Texas,true
83327,Idaho,true
83327,Texas,true
83328,Idaho,true
83328,Texas,true
83330,Idaho,true
83330,Texas,true
83332,Idaho,true
83332,Texas,true
83333,Idaho,true
83333,Texas,true
83334,Idaho,true
83334,Texas,true
83335,Idaho,true
83335,Texas,true
83336,Idaho,true
83336,Texas,true
83337,Idaho,true
83337,Texas,true
83338,Idaho,true
83338,Texas,true
83340,Idaho,true
83340,Texas,true
83341,Idaho,true
83341,Texas,true
83342,Idaho,true
83342,Texas,true
83343,Idaho,true
83343,Texas,true
83344,Idaho,true
83344,Texas,true
83346,Idaho,true
83346,Texas,true
83347,Idaho,true
83347,Texas,true
83348,Idaho,true
83348,Texas,true
83349,Idaho,true
83349,Texas,true
83350,Idaho,true
83350,Texas,true
83352,Idaho,true
83352,Texas,true
83353,Idaho,true
83353,Texas,true
83354,Idaho,true
83354,Texas,true
83355,Idaho,true
83355,Texas,true
83401,Idaho,true
83401,Texas,true
83402,Idaho,true
83402,Texas,true
83403,Idaho,true
83403,Texas,true
83404,Idaho,true
83404,Texas,true
83405,Idaho,true
83405,Texas,true
83406,Idaho,true
83406,Texas,true
83414,Idaho,true
83414,Texas,true
83415,Idaho,true
83415,Texas,true
83420,Idaho,true
83420,Texas,true
83421,Idaho,true
83421,Texas,true
83422,Idaho,true
83422,Texas,true
83423,Idaho,true
83423,Texas,true
83424,Idaho,true
83424,Texas,true
83425,Idaho,true
83425,Texas,true
83427,Idaho,true
83427,Texas,true
83428,Idaho,true
83428,Texas,true
83429,Idaho,true
83429,Texas,true
83431,Idaho,true
83431,Texas,true
83433,Idaho,true
83433,Texas,true
83434,Idaho,true
83434,Texas,true
83435,Idaho,true
83435,Texas,true
83436,Idaho,true
83436,Texas,true
83438,Idaho,true
83438,Texas,true
83440,Idaho,true
83440,Texas,true
83441,Idaho,true
83441,Texas,true
83442,Idaho,true
83442,Texas,true
83443,Idaho,true
83443,Texas,true
83444,Idaho,true
83444,Texas,true
83445,Idaho,true
83445,Texas,true
83446,Idaho,true
83446,Texas,true
83448,Idaho,true
83448,Texas,true
83449,Idaho,true
83449,Texas,true
83450,Idaho,true
83450,Texas,true
83451,Idaho,true
83451,Texas,true
83452,Idaho,true
83452,Texas,true
83454,Idaho,true
83454,Texas,true
83455,Idaho,true
83455,Texas,true
83460,Idaho,true
83460,Texas,true
83462,Idaho,true
83462,Texas,true
83463,Idaho,true
83463,Texas,true
83464,Idaho,true
83464,Texas,true
83465,Idaho,true
83465,Texas,true
83466,Idaho,true
83466,Texas,true
83467,Idaho,true
83467,Texas,true
83468,Idaho,true
83468,Texas,true
83469,Idaho,true
83469,Texas,true
83546,Idaho,true
83546,Texas,true
83547,Idaho,true
83547,Texas,true
83549,Idaho,true
83549,Texas,true
83601,Idaho,true
83601,Texas,true
83602,Idaho,true
83602,Texas,true
83604,Idaho,true
83604,Texas,true
83605,Idaho,true
83605,Texas,true
83606,Idaho,true
83606,Texas,true
83607,Idaho,true
83607,Texas,true
83610,Idaho,true
83610,Texas,true
83611,Idaho,true
83611,Texas,true
83612,Idaho,true
83612,Texas,true
83615,Idaho,true
83615,Texas,true
83616,Idaho,true
83616,Texas,true
83617,Idaho,true
83617,Texas,true
83619,Idaho,true
83619,Texas,true
83622,Idaho,true
83622,Texas,true
83623,Idaho,true
83623,Texas,true
83624,Idaho,true
83624,Texas,true
83626,Idaho,true
83626,Texas,true
83627,Idaho,true
83627,Texas,true
83628,Idaho,true
83628,Texas,true
83629,Idaho,true
83629,Texas,true
83630,Idaho,true
83630,Texas,true
83631,Idaho,true
83631,Texas,true
83632,Idaho,true
83632,Texas,true
83633,Idaho,true
83633,Texas,true
83634,Idaho,true
83634,Texas,true
83635,Idaho,true
83635,Texas,true
83636,Idaho,true
83636,Texas,true
83637,Idaho,true
83637,Texas,true
83638,Idaho,true
83638,Texas,true
83639,Idaho,true
83639,Texas,true
83641,Idaho,true
83641,Texas,true
83642,Idaho,true
83642,Texas,true
83643,Idaho,true
83643,Texas,true
83644,Idaho,true
83644,Texas,true
83645,Idaho,true
83645,Texas,true
83646,Idaho,true
83646,Texas,true
83647,Idaho,true
83647,Texas,true
83648,Idaho,true
83648,Texas,true
83650,Idaho,true
83650,Texas,true
83651,Idaho,true
83651,Texas,true
83652,Idaho,true
83652,Texas,true
83653,Idaho,true
83653,Texas,true
83654,Idaho,true
83654,Texas,true
83655,Idaho,true
83655,Texas,true
83656,Idaho,true
83656,Texas,true
83657,Idaho,true
83657,Texas,true
83660,Idaho,true
83660,Texas,true
83661,Idaho,true
83661,Texas,true
83666,Idaho,true
83666,Texas,true
83669,Idaho,true
83669,Texas,true
83670,Idaho,true
83670,Texas,true
83672,Idaho,true
83672,Texas,true
83676,Idaho,true
83676,Texas,true
83677,Idaho,true
83677,Texas,true
