Product SKU,,,,Product Description,Stock,NEW STATUS,Current Qty,Qty Sold,Price,Discounted Price,Supplier,Supplier Price,Alert Limit,Max LImit,Category,Sub-category,Factory
A003,A5,,,Florence Relaxed Bench - 3 Seats Cashmere-Tiffany Blue,Discontinued,,0,0,1849,,SCBF-200,$210.00 ,,,Chairs,,Ytoom
A003,A6,,,Florence Relaxed Bench - 3 Seats Cashmere-Imperial Red,Discontinued,,0,0,1849,,SCBF-200,$210.00 ,,,Chairs,,Ytoom
A003,A7,,,Florence Relaxed Bench - 3 Seats Cashmere-Cobalt Blue,Discontinued,,0,0,1849,,SCBF-200,$210.00 ,,,Chairs,,Ytoom
A003,A8,,,Florence Relaxed Bench - 3 Seats Cashmere-Pine Green,Discontinued,,0,0,1849,,SCBF-200,$210.00 ,,,Chairs,,Ytoom
A003,A9,,,Florence Relaxed Bench - 3 Seats Cashmere-Blue Grey,Non-Inventory,Deactivated,0,0,1849,,SCBF-200,$210.00 ,,,Chairs,,Ytoom
A003,AA,,,Florence Relaxed Bench - 3 Seats Cashmere-Spanish Orange,Discontinued,,0,0,1849,,SCBF-200,$210.00 ,,,Chairs,,Ytoom
A003,AB,,,Florence Relaxed Bench - 3 Seats Cashmere-Cape Sands,Discontinued,,0,0,1849,,SCBF-200,$210.00 ,,,Chairs,,Ytoom
A003,B0,,,Florence Relaxed Bench - 3 Seats Boucle Wool-Ruby,Discontinued,,0,0,1849,,SCBF-200,$181.00 ,,,Chairs,,Ytoom
A003,B2,,,Florence Relaxed Bench - 3 Seats Boucle Wool-Charcoal Grey,Discontinued,,0,0,1849,,SCBF-200,$181.00 ,,,Chairs,,Ytoom
A003,B3,,,Florence Relaxed Bench - 3 Seats Boucle Wool-Yellow,Discontinued,,0,1,1849,,SCBF-200,$181.00 ,,,Chairs,,Ytoom
A003,B5,,,Florence Relaxed Bench - 3 Seats Boucle Wool-Ocean,Discontinued,,0,0,1849,,SCBF-200,$181.00 ,,,Chairs,,Ytoom
A003,B7,,,Florence Relaxed Bench - 3 Seats Boucle Wool-Copper,Discontinued,,0,0,1849,,SCBF-200,$181.00 ,,,Chairs,,Ytoom
A003,C0,,,Florence Relaxed Bench - 3 Seats Velvet-Ecru Champagne,Discontinued,,0,0,1849,,SCBF-200,$181.00 ,,,Chairs,,Ytoom
A003,C1,,,Florence Relaxed Bench - 3 Seats Velvet-Slate Pebble,Discontinued,,0,0,1849,,SCBF-200,$181.00 ,,,Chairs,,Ytoom
A003,C2,,,Florence Relaxed Bench - 3 Seats Velvet-Rose Mauve,Discontinued,,0,0,1849,,SCBF-200,$181.00 ,,,Chairs,,Ytoom
A003,C3,,,Florence Relaxed Bench - 3 Seats Velvet-Ginger Cider,Discontinued,,0,0,1849,,SCBF-200,$181.00 ,,,Chairs,,Ytoom
A003,C4,,,Florence Relaxed Bench - 3 Seats Velvet-Tangerine Orange,Discontinued,,0,0,1849,,SCBF-200,$181.00 ,,,Chairs,,Ytoom
A003,C5,,,Florence Relaxed Bench - 3 Seats Velvet-Graphite Grey,Discontinued,,0,0,1849,,SCBF-200,$181.00 ,,,Chairs,,Ytoom
A003,C6,,,Florence Relaxed Bench - 3 Seats Velvet-Ash Brown,Discontinued,,0,0,1849,,SCBF-200,$181.00 ,,,Chairs,,Ytoom
